Date1,Date2,S0,S1,S2,P1,V0,N,PR,LA,VP,,,for mean lay date,for var lay date,Date (days after 31 Dec),Flevoland mean,Flevoland sd,Flevoland n,Lauwersmeer mean,Lauwersmeer sd,Lauwersmeer n,Combined mean,Combined sd,Combined n,clutch size,#chicks,#survivors to year 1,for mean fitness,rel fitness,for zbarstar,for zbar,,#chicks,for mean fitness,rel fitness,for zbarstar,for zbar
76,85,0.846,0.381,0.437,,1.27,1,,0.5,7.7,,80.5,0.230989957,3.837702741,76Ð85,6.5,0.71,2,6.25,,4,6.5,0.71,2,6.333333333,5.358,2.041398,0.00585767,1.493376486,0.34495497,0.230989957,,5.358,0.015374462,1.539112844,0.35551961,0.230989957
86,95,0.69,0.442,0.47,0.95,1.04,0.942,0.25,0.564,7.77,,90.5,7.011477762,54.69874855,86Ð95,5.98,0.69,50,6,0.5,4,6,0.67,54,5.981481481,4.127222222,1.824232222,0.141332195,1.334509736,9.356885334,7.011477762,,4.127222222,0.319756098,1.185565647,8.312567166,7.011477762
96,105,0.647,0.423,0.56,0.98,1.18,0.835,0.16,0.346,8.88,,100.5,16.87015782,46.0947534,96Ð105,5.87,0.63,86,5.87,0.67,31,5.87,0.64,117,5.87,3.79789,1.60650747,0.269671986,1.17523407,19.82638423,16.87015782,,3.79789,0.637522425,1.090963285,18.40472279,16.87015782
106,115,0.707,0.423,0.56,0.98,1.37,0.886,0.16,0.346,5.42,,110.5,27.26829268,10.65518682,106Ð115,5.49,0.67,116,5.54,0.63,56,5.54,0.65,172,5.50627907,3.892939302,1.646713325,0.406362542,1.204646501,32.84865337,27.26829268,,3.892939302,0.960667948,1.118266682,30.49322319,27.26829268
116,125,0.674,0.397,0.554,0.6,1.01,0.853,0.08,0.437,6.79,,120.5,26.10545194,2.547266681,116Ð125,5.29,0.77,110,5.02,0.68,41,5.15,0.75,151,5.216688742,3.516048212,1.39587114,0.302405369,1.021143911,26.65742329,26.10545194,,3.516048212,0.76172637,1.010002793,26.36657937,26.10545194
126,135,0.62,0.349,0.587,0.35,0.74,0.787,0.08,0.394,6.15,,130.5,20.5954089,28.46073086,126Ð135,4.71,0.66,79,5,0.68,31,4.79,0.68,110,4.791727273,2.970870909,1.036833947,0.16363233,0.758491699,15.62144668,20.5954089,,2.970870909,0.468860545,0.85339783,17.57607727,20.5954089
136,145,0.643,0.246,0.525,0.1,0.41,0.804,0,0.45,6.93,,140.5,10.2804878,40.16467076,136Ð145,4.28,0.84,25,4.19,0.63,26,4.24,0.74,51,4.234117647,2.722537647,0.669744261,0.049005678,0.489948717,5.036911811,10.2804878,,2.722537647,0.199210072,0.782062834,8.039987423,10.2804878
146,155,0.578,0.243,0.622,,0.43,0.714,0,0.45,6.93,,150.5,7.557388809,56.11533399,146Ð155,3.67,0.91,21,3.86,0.77,14,3.74,0.85,35,3.746,2.165188,0.526140684,0.026420264,0.384896098,2.908809467,7.557388809,,2.165188,0.108725366,0.621961303,4.700403391,7.557388809
156,165,0.409,0.243,0.622,,0.3,0.833,0,0.45,6.93,,160.5,1.151362984,13.52995998,156Ð165,3.33,0.58,3,3,1.41,2,3.2,0.84,5,3.198,1.307982,0.317839626,0.002280055,0.232514298,0.267708356,1.151362984,,1.307982,0.009382941,0.375724505,0.432595287,1.151362984
Overall,,0.665,0.379,0.547,,1,0.827,0.107,0.462,7.2,,,mean lay date,var lay date,Total:,5.27,0.93,492,5.11,0.93,205,5.22,0.94,697,,,,,,based on survivors to year 1,,,,,,based on number chicks,
,,,,,,,,,,,,,117.0710187,256.1043538,,,,,,,,,,,,,mean fitness ,1.366968088,sel diff,-4.201841138,,,,3.481226227,sel diff,-2.38934316,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sttd sel diff,-0.262561562,,,,,sttd sel diff,-0.14930352,
