Date (days after 31 Dec),Flevoland mean,Flevoland sd,Flevoland n,Lauwersmeer mean,Lauwersmeer sd,Lauwersmeer n,Combined mean,Combined sd,Combined n
76Ð85,6.50,0.71,2,6.25,,4,6.50,0.71,2
86Ð95,5.98,0.69,50,6.00,0.50,4,6.00,0.67,54
96Ð105,5.87,0.63,86,5.87,0.67,31,5.87,0.64,117
106Ð115,5.49,0.67,116,5.54,0.63,56,5.54,0.65,172
116Ð125,5.29,0.77,110,5.02,0.68,41,5.15,0.75,151
126Ð135,4.71,0.66,79,5.00,0.68,31,4.79,0.68,110
136Ð145,4.28,0.84,25,4.19,0.63,26,4.24,0.74,51
146Ð155,3.67,0.91,21,3.86,0.77,14,3.74,0.85,35
156Ð165,3.33,0.58,3,3.00,1.41,2,3.20,0.84,5
Total,5.27,0.93,492,5.11,0.93,205,5.22,0.94,697
